capital,num_workers,productivity,price,inventory,budget,mean_historic_sales,std_historic_sales,avg_wage,avg_capital_price,avg_consumption_good_price,market_demand,actual_demand,sales,firm_id
20.0,1.0,1.0150751249999996,0.030563645913324056,11.79617986326593,-27.39110920210989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0150751249999996,0.029035463617657853,11.799044380093783,-27.465228264537117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0150751249999996,0.027583690436774957,11.801364638724342,-27.535656802355483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0150751249999996,0.02620450591493621,11.803244048215095,-27.6025757855233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0150751249999996,0.0248942806191894,11.804766369902605,-27.666157955221692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0150751249999996,0.023649566588229927,11.80599945046949,-27.726568046347822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0150751249999996,0.022467088258818428,11.806998245728666,-27.78396304243544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0150751249999996,0.021343733845877507,11.807807269888597,-27.838492451342614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0150751249999996,0.02027654715358363,11.808462579458144,-27.89029859294355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0150751249999996,0.019262719795904448,11.808993380209476,-27.939516892279997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0150751249999996,0.018299583806109226,11.809423328818054,-27.986276173325187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0201505006249996,0.017384604615803764,11.809771587191003,-30.03069894980997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0201505006249996,0.016515374385013576,11.821274369927334,-30.072922300988743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0201505006249996,0.015689605665762895,11.830591623943763,-30.113069724556183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
