Step,AgentID,Type,Capital,Labor,Production,Price,Inventory,Budget,Productivity,Wage,Skills,Savings,Consumption
5,27,Worker,,0,,,,,,1.0,0.09752487531218751,199.05,1.0
5,3,Worker,,0,,,,,,1.0,0.09752487531218751,199.05,1.0
5,26,Worker,,0,,,,,,1.0,0.09752487531218751,200.0,1.0
5,30,Firm1,20.0,1,2.4810820241552016,0.7737809374999999,13.861938839769659,14.999321973000407,1.0100249999999997,,,,
5,36,Firm2,5.0,1,0.0,0.7737809374999999,0.0,7.799846000760001,1.0,,,,
5,8,Worker,,0,,,,,,1.0,0.09752487531218751,199.05,1.0
5,11,Worker,,0,,,,,,1.0,0.09752487531218751,200.0,1.0
5,18,Worker,,0,,,,,,1.0,0.10354009899500001,199.05,1.0
5,33,Firm2,5.0,1,0.0,0.7737809374999999,0.0,7.799846000760001,1.0,,,,
5,35,Firm2,5.0,1,0.0,0.7737809374999999,0.0,7.799846000760001,1.0,,,,
5,15,Worker,,0,,,,,,1.0,0.09752487531218751,199.05,1.0
5,5,Worker,,0,,,,,,1.0,0.09752487531218751,200.0,1.0
5,6,Worker,,0,,,,,,1.0,0.09752487531218751,199.05,1.0
5,23,Worker,,0,,,,,,1.0,0.09752487531218751,199.05,1.0
5,24,Worker,,0,,,,,,1.0,0.09752487531218751,200.0,1.0
5,7,Worker,,0,,,,,,1.0,0.09752487531218751,200.0,1.0
5,20,Worker,,0,,,,,,1.0,0.09752487531218751,199.05,1.0
5,9,Worker,,0,,,,,,1.0,0.09752487531218751,199.05,1.0
5,16,Worker,,0,,,,,,1.0,0.10354009899500001,199.05,1.0
5,4,Worker,,0,,,,,,1.0,0.09752487531218751,199.0503799981,1.0
5,10,Worker,,0,,,,,,1.0,0.09752487531218751,199.05,1.0
6,14,Worker,,0,,,,,,1.0,0.09703725093562657,199.05,1.0
6,12,Worker,,0,,,,,,1.0,0.10457549998495001,199.05,1.0
6,18,Worker,,0,,,,,,1.0,0.10457549998495001,199.05,1.0
6,16,Worker,,0,,,,,,1.0,0.10457549998495001,199.05,1.0
6,10,Worker,,0,,,,,,1.0,0.09703725093562657,199.05,1.0
6,27,Worker,,0,,,,,,1.0,0.09703725093562657,199.05,1.0
6,7,Worker,,0,,,,,,1.0,0.09703725093562657,200.0,1.0
6,33,Firm2,5.0,1,0.0,0.7350918906249998,0.0,7.799846000760001,1.0,,,,
6,3,Worker,,0,,,,,,1.0,0.09703725093562657,199.05,1.0
6,30,Firm1,20.0,1,2.4810820241552016,0.7350918906249998,16.342718815714015,14.999094576758024,1.0100249999999997,,,,
6,2,Worker,,0,,,,,,1.0,0.10457549998495001,199.05,1.0
6,26,Worker,,0,,,,,,1.0,0.09703725093562657,200.0,1.0
6,8,Worker,,0,,,,,,1.0,0.09703725093562657,199.05,1.0
6,13,Worker,,0,,,,,,1.0,0.10457549998495001,199.05,1.0
6,17,Worker,,0,,,,,,1.0,0.09703725093562657,200.0,1.0
6,31,Firm1,20.0,1,2.4564560522315806,0.7350918906249998,16.281186190738836,18.999095800334146,1.0,,,,
6,28,Worker,,0,,,,,,1.0,0.09703725093562657,199.04999999999998,1.0
6,21,Worker,,0,,,,,,1.0,0.09703725093562657,200.0,1.0
6,22,Worker,,0,,,,,,1.0,0.10457549998495001,199.05,1.0
6,32,Firm2,5.0,1,0.0,0.7350918906249998,0.0,7.799846000760001,1.0,,,,
6,19,Worker,,0,,,,,,1.0,0.09703725093562657,199.05,1.0
6,11,Worker,,0,,,,,,1.0,0.09703725093562657,200.0,1.0
6,15,Worker,,0,,,,,,1.0,0.09703725093562657,199.05,1.0
6,36,Firm2,5.0,1,0.0,0.7350918906249998,0.0,7.799846000760001,1.0,,,,
