step,firm_id,firm_type,optimal_labor,optimal_capital,optimal_price,optimal_production,actual_labor,actual_capital,actual_price,Inventory
8,20,Firm1,0,20,0.1677721600000001,0,0,20,0.1677721600000001,20
8,26,Firm2,0,5,0.37748736000000005,0,0,5,0.37748736000000005,0.0
8,22,Firm2,0,5,0.37748736000000016,0,0,5,0.37748736000000016,0.0
8,25,Firm2,0,5,0.37748736000000016,0,0,5,0.37748736000000016,0.0
8,21,Firm1,0,20,0.1677721600000001,0,0,20,0.1677721600000001,20
9,22,Firm2,0,5,0.30198988800000015,0,0,5,0.30198988800000015,0.0
9,26,Firm2,0,5,0.30198988800000004,0,0,5,0.30198988800000004,0.0
9,20,Firm1,0,20,0.13421772800000006,0,0,20,0.13421772800000006,20
9,25,Firm2,0,5,0.30198988800000015,0,0,5,0.30198988800000015,0.0
9,24,Firm2,0,5,0.30198988800000015,0,0,5,0.30198988800000015,0.0
9,23,Firm2,0,5,0.30198988800000015,0,0,5,0.30198988800000015,0.0
9,21,Firm1,0,20,0.13421772800000006,0,0,20,0.13421772800000006,20
10,25,Firm2,0,5,0.24159191040000014,0,0,5,0.24159191040000014,0.0
10,23,Firm2,0,5,0.24159191040000014,0,0,5,0.24159191040000014,0.0
10,21,Firm1,0,20,0.10737418240000006,0,0,20,0.10737418240000006,20
10,24,Firm2,0,5,0.24159191040000014,0,0,5,0.24159191040000014,0.0
10,22,Firm2,0,5,0.24159191040000014,0,0,5,0.24159191040000014,0.0
10,20,Firm1,0,20,0.10737418240000006,0,0,20,0.10737418240000006,20
10,26,Firm2,0,5,0.24159191040000005,0,0,5,0.24159191040000005,0.0
11,20,Firm1,0,20,0.08589934592000005,0,0,20,0.08589934592000005,20
11,24,Firm2,0,5,0.1932735283200001,0,0,5,0.1932735283200001,0.0
11,21,Firm1,0,20,0.08589934592000005,0,0,20,0.08589934592000005,20
11,25,Firm2,0,5,0.1932735283200001,0,0,5,0.1932735283200001,0.0
11,22,Firm2,0,5,0.1932735283200001,0,0,5,0.1932735283200001,0.0
11,26,Firm2,0,5,0.19327352832000005,0,0,5,0.19327352832000005,0.0
11,23,Firm2,0,5,0.1932735283200001,0,0,5,0.1932735283200001,0.0
12,20,Firm1,0,20,0.06871947673600004,0,0,20,0.06871947673600004,20
